commit,version,date,bench,metric,unit,value,ci_low,ci_high,allocs,allocs_ci_low,allocs_ci_high,rustc,machine
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/100000,median,ns,8984891.166666666,8980086.833333334,8990166.083333332,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/1000,mean,ns,75895.34118031968,75794.80687197488,76064.16421753187,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/1000,median,ns,75770.09177740864,75754.85543592437,75796.07069970845,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/100,mean,ns,8058.0763967845505,8048.911758133024,8071.712753978201,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_nodes/100,median,ns,8049.272202722179,8045.2482421841505,8052.2260624679975,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/10000,mean,ns,1202515.4890518615,1201506.1862990432,1203911.7106737245,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/10000,median,ns,1201167.525914634,1200789.5297249334,1201431.5161290322,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/100000,mean,ns,14177778.63,14163910.145375,14194086.289687501,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/100000,median,ns,14162885.75,14154869.375,14173613.5,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/1000,mean,ns,117837.40850288526,117750.05000792092,117956.28028191156,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/1000,median,ns,117727.58172458172,117705.23333333334,117749.5561965812,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/100,mean,ns,13024.469712508266,13010.399484375534,13042.817482756589,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_relationships/100,median,ns,13007.327272727272,13002.65182436611,13012.086872586873,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/10000,mean,ns,756178.7942366934,754536.5886027516,758017.8080010576,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/10000,median,ns,751953.2069746377,751377.4090909091,753265.0626477541,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/1000,mean,ns,110912.25490861827,110840.43200325109,111012.89013122756,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/1000,median,ns,110813.70333333334,110775.40096618357,110845.30884109916,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/1000000,mean,ns,334633525.75,334397151.36325,334916831.62925,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/1000000,median,ns,334213605.5,334109957.0,334357230.0,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/100,mean,ns,9550.475541222522,9531.52665383715,9577.749000383012,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bfs/100,median,ns,9527.164412852519,9522.905376032459,9530.353287912043,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication_multi_key/10000,mean,ns,5852015.765555552,5849891.831916667,5854279.541749999,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication_multi_key/10000,median,ns,5850966.444444444,5847747.666666666,5852551.388888889,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication_multi_key/100000,mean,ns,69149724.7,68857050.02299999,69450461.15499999,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication_multi_key/100000,median,ns,68530014.5,68303934.5,69070325.0,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication_multi_key/1000,mean,ns,594857.4993504798,594449.2605835993,595480.5257584631,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_node_deduplication_multi_key/1000,median,ns,594265.5384615385,594140.7642857142,594397.5979502688,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bidirectional_bfs/10000,mean,ns,2179491.317916666,2175667.927322917,2183824.247229167,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bidirectional_bfs/10000,median,ns,2170617.2708333335,2168758.7916666665,2174794.0625,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bidirectional_bfs/1000,mean,ns,294681.29949806427,294407.0162445932,295060.4422521239,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,bidirectional_bfs/1000,median,ns,294340.98727422004,294226.9166666667,294421.5164170507,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
